gene,chr,tss,MCF7_WT_binding,MCF7_D538G_binding,MCF7_binding_diff,T47D_WT_binding,T47D_D538G_binding,T47D_binding_diff,has_any_binding,has_differential_binding,has_opposite_binding,MCF7_FC,T47D_FC,correlation_type,total_effect
ABHD12,chr20,25390866,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7909526575660761,1.2998178014710844,inverse_repressor,9.69583130754955
FSTL3,chr19,676392,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7353601917028606,1.5266507557677007,inverse_repressor,9.682522285200196
ARL13B,chr3,93980139,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2179518968509797,0.6537735163797486,same_as_secretion,9.663492418943315
PRKX,chrX,3713649,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.416603740061298,0.6859550561797751,same_as_secretion,9.651556295814908
ZIC2,chr13,99981784,62.64,0.0,-62.64,0.0,88.21,88.21,True,True,True,1.3364573570759135,0.5381789556546838,same_as_secretion,9.651378578766389
EDARADD,chr1,236348257,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.4479850611408951,1.7692748091603052,inverse_repressor,9.644519629173592
KAAG1,chr6,24356903,67.58,0.0,-67.58,0.0,314.2,314.2,True,True,True,0.564990854165512,1.5679256476171644,inverse_repressor,9.613676919555555
HLA-DRA,chr6,32439872,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5942897074972546,0.1341896913879463,same_as_secretion,9.61019007781144
IL18,chr11,112164106,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.851535982201432,0.7888582756535178,same_as_secretion,9.59258081783407
PRCP,chr11,82970584,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.4782608695652175,0.7160577356788452,same_as_secretion,9.585721111879268
BEX3,chrX,103376299,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3807159114421683,0.7629579604929934,same_as_secretion,9.571319569571193
PCDHA7,chr5,140834248,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.382851985559567,0.6408774305891457,same_as_secretion,9.57030148318821
ZFP36L1,chr14,68796253,0.0,0.0,0.0,0.0,141.95,141.95,True,True,False,2.026397045468306,0.7850341215680052,same_as_secretion,9.55289295455318
PIK3R4,chr3,130746829,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2484283789851818,0.693777388255916,same_as_secretion,9.482730714387555
DHX58,chr17,42112733,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,8.486880255146419,0.7342213558587829,same_as_secretion,9.468239186598678
BTBD3,chr20,11890723,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2011343804537522,0.7706529713866471,same_as_secretion,9.463283606826195
DRAM2,chr1,111140225,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2912946428571428,0.7600422832980973,same_as_secretion,9.459943561267208
RHOBTB2,chr8,22987222,0.0,0.0,0.0,0.0,71.39,71.39,True,True,False,0.5862269415594482,1.299835255354201,inverse_repressor,9.446289538739688
FAM219B,chr15,74907331,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6899070385126163,1.2584623128224486,inverse_repressor,9.442045140500586
TGM3,chr20,2296001,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,11.48031496062992,0.3211984949986234,same_as_secretion,9.436665277177102
VAV1,chr19,6772694,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6201348056790478,1.2756348129482458,inverse_repressor,9.425697340186147
STRIP2,chr7,129434392,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.048648962078163,0.5152954068121632,same_as_secretion,9.346904363159757
ARVCF,chr22,20016823,126.94,0.0,-126.94,0.0,0.0,0.0,True,True,False,0.4900853124279455,1.2627273229782765,inverse_repressor,9.338854988207522
EEIG2,chr1,108560036,158.3,54.29,-104.01000000000002,0.0,0.0,0.0,True,True,False,1.3615641081394505,0.5936287957619905,same_as_secretion,9.280284061538849
CTSE,chr1,206023909,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,7.4646846254927715,0.1191567398119122,same_as_secretion,9.26687694524662
RNF128,chrX,106693794,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.1554208395482633,1.3998955018287176,inverse_repressor,9.255318906730924
SPINK5,chr5,148025683,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5610511962315607,0.3845019287497163,same_as_secretion,9.24849978807969
WNT4,chr1,22143969,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3424746980084885,0.4547218351377425,same_as_secretion,9.23101791896742
SCN1B,chr19,35030447,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6803981937602627,2.0351372146704283,inverse_repressor,9.202656102721225
GASK1B,chr4,158174249,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6535631488761214,1.413917525773196,inverse_repressor,9.155126634972774
PPCDC,chr15,75023586,415.62,78.82,-336.8,0.0,274.26,274.26,True,True,True,0.7856047700170357,1.2592678005188815,inverse_repressor,9.149623490847434
DCXR,chr17,82037776,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6714771673023401,1.2235033959879955,inverse_repressor,9.11393240258579
ACVR1B,chr12,51951679,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2321571000302538,0.7225125628140704,same_as_secretion,9.112060021585396
FRMD4B,chr3,69542583,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.298704443637244,0.6948606106580694,same_as_secretion,9.086960314084408
PCDHA8,chr5,140841187,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.4295923836749278,0.5791729884642246,same_as_secretion,9.072742949357426
MXI1,chr10,110207605,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5785889918668432,0.7359933268455443,same_as_secretion,9.056974003667976
JAG1,chr20,10674396,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.7787863506471675,0.5502272929851145,same_as_secretion,9.050535676311624
P2RY6,chr11,73264498,61.35,0.0,-61.35,0.0,151.53,151.53,True,True,True,0.6870352845748277,1.3308884247340556,inverse_repressor,9.043004741539598
KLF13,chr15,31326706,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.297178453646024,0.7499268506778504,same_as_secretion,9.036573232850138
TNNC1,chr3,52454041,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5233416366823509,2.978855537483365,inverse_repressor,9.02308000034829
LMX1B,chr9,126613928,0.0,0.0,0.0,0.0,95.3,95.3,True,True,False,1.2015730114760583,0.5865168539325843,same_as_secretion,9.021001068117918
PNKD,chr2,218269651,103.71,72.87,-30.83999999999999,0.0,417.03,417.03,True,True,False,0.7348582098261174,1.230230930720784,inverse_repressor,8.995673100576251
BIRC3,chr11,102317484,225.15,160.31,-64.84,58.53,1294.88,1236.3500000000001,True,True,True,1.3635698992114471,0.722352694485217,same_as_secretion,8.979212541728542
GLCE,chr15,69160584,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2246798017161118,0.751267345998259,same_as_secretion,8.965246851854433
CCDC78,chr16,726954,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5548082312434943,1.2622453837095682,inverse_repressor,8.95354081181146
CHN1,chr2,175005381,82.77,0.0,-82.77,0.0,0.0,0.0,True,True,False,1.5949937986244225,0.3055658741951461,same_as_secretion,8.925441402963656
ZFAND2B,chr2,219195237,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6505010449600771,1.2962389722953105,inverse_repressor,8.91294902329979
GOLPH3L,chr1,150697219,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2992833350156456,0.714332784184514,same_as_secretion,8.908339835254505
MED12L,chr3,151085286,114.72,0.0,-114.72,0.0,0.0,0.0,True,True,False,1.504618542593226,0.4298703485435258,same_as_secretion,8.905159384960898
DENND5B,chr12,31591170,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.023699573059162,0.3943363345919257,same_as_secretion,8.899057137152507
AHNAK2,chr14,104978374,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.0408371618172536,0.7716592112705023,same_as_secretion,8.88671197665914
ZHX2,chr8,122781311,88.71,0.0,-88.71,0.0,0.0,0.0,True,True,False,1.212454114305619,0.561409916902566,same_as_secretion,8.879464695508656
PPIL6,chr6,109441171,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.468951148978513,0.5280831350945285,same_as_secretion,8.85221378446575
RASAL1,chr12,113136258,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6116008201746044,0.308268156424581,same_as_secretion,8.847813407087733
CAPS2,chr12,75390950,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.9053367894045377,0.5399008674101611,same_as_secretion,8.834550506767402
ALPK1,chr4,112285509,301.66,0.0,-301.66,51.36,175.5,124.14,True,True,True,1.396495327102804,0.7130241266028472,same_as_secretion,8.822559153760265
ASTN2,chr9,117415070,153.78,0.0,-153.78,0.0,92.83,92.83,True,True,True,1.4952364273204906,0.6894939286522361,same_as_secretion,8.782019388823711
MLLT3,chr9,20622499,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2223356632372575,0.7323033499220084,same_as_secretion,8.77542237106232
CPTP,chr1,1324756,59.03,0.0,-59.03,0.0,54.74,54.74,True,True,True,0.797282929710573,1.3311334289813486,inverse_repressor,8.743871491723176
DSE,chr6,116253604,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.454420364637083,0.7322779024349706,same_as_secretion,8.74043381035712
PHKG2,chr16,30748293,0.0,0.0,0.0,0.0,108.47,108.47,True,True,False,0.7684813753581662,1.269210292812777,inverse_repressor,8.718566981077133
SLC12A4,chr16,67969601,561.0,202.05,-358.95,0.0,51.61,51.61,True,True,True,0.6729034096305441,1.3797564687975643,inverse_repressor,8.718379942539157
HES4,chr1,1000172,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5318715552360412,1.4747961165048544,inverse_repressor,8.718095745301571
CETN2,chrX,152830782,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2563210754621126,0.6744968657208842,same_as_secretion,8.700510663935388
HGH1,chr8,144137774,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7483639434241081,1.3236581652074608,inverse_repressor,8.69521666079001
NMI,chr2,151289908,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6126315789473686,0.6836052067885977,same_as_secretion,8.680354604716982
ATP6V0E2,chr7,149872968,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7759181775918178,1.2951215828424707,inverse_repressor,8.67865897472251
RANBP3L,chr5,36302114,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.1323202232361703,1.315677083333333,inverse_repressor,8.65595146635355
RNF217,chr6,124962437,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.902776778649018,0.6956171446986787,same_as_secretion,8.583651783143852
CKMT1A,chr15,43692886,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6946191474493361,1.2588013327445706,inverse_repressor,8.576708749062497
SNHG33,chr3,183451741,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2.002518574486841,0.6242936136598408,same_as_secretion,8.566779766799332
JAK3,chr19,17848071,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7333944495374615,1.322425077506028,inverse_repressor,8.56224901551645
MICAL1,chr6,109465968,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5891735137747705,1.3145999043769288,inverse_repressor,8.552950772553947
BCL2L11,chr2,111119378,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2132245598969515,0.4346285018270401,same_as_secretion,8.550492617446029
ZC3H12C,chr11,110093392,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3676820047526466,0.7700880045915438,same_as_secretion,8.530219086236738
YAF2,chr12,42238349,139.8,0.0,-139.8,0.0,183.26,183.26,True,True,True,1.2343542650883803,0.7264431239388796,same_as_secretion,8.5208709719803
TLE6,chr19,2977538,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.1601299737772203,1.985277202668507,inverse_repressor,8.517978122708936
GDAP1,chr8,74320613,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.4813648564939088,0.7412507896399242,same_as_secretion,8.494200345717182
SEMA3B,chr3,50267542,785.51,163.72,-621.79,0.0,195.25,195.25,True,True,True,1.574702733771599,0.6876784015223598,same_as_secretion,8.491880012514766
SAV1,chr14,50668337,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3620555814314546,0.7681056518034649,same_as_secretion,8.476512237517285
FUNDC2,chrX,155025980,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2600612870275794,0.7377534745955797,same_as_secretion,8.425252042410591
UBE2L6,chr11,57568284,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3216991216247618,0.6906442214308839,same_as_secretion,8.41971888647792
FAM156A,chrX,52995564,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6725668521786343,1.2092733603193022,inverse_repressor,8.419014850388919
PAXX,chr9,136992403,1115.39,705.77,-409.6200000000001,0.0,388.18,388.18,True,True,True,0.7206805019305019,1.2472306143001006,inverse_repressor,8.395611569562131
EPB41L1,chr20,36091504,778.04,214.41,-563.63,0.0,0.0,0.0,True,True,False,1.516399446569545,0.6425288080095712,same_as_secretion,8.370971935913392
CEP41,chr7,130442433,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2482277745496804,0.7442613582245928,same_as_secretion,8.370822995836354
FLRT3,chr20,14337631,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6980531558715333,0.6933635747739255,same_as_secretion,8.369951999288824
PAPLN,chr14,73236338,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6222707423580786,2.000287455444406,inverse_repressor,8.319062456157612
ULK3,chr15,74843346,232.76,0.0,-232.76,0.0,0.0,0.0,True,True,False,0.6522985528269956,1.255897401820719,inverse_repressor,8.288577232571264
TMEM243,chr7,87220597,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2518818349666243,0.6996494582536646,same_as_secretion,8.27176405454643
AP1AR,chr4,112231363,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2308128330121302,0.6746924512948159,same_as_secretion,8.26668540404227
MOCS2-DT,chr5,53109816,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5833333333333337,0.7904899250891321,same_as_secretion,8.211120136921197
DSC2,chr18,31102600,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.289997083697871,0.5865856050205923,same_as_secretion,8.209053646600111
HCFC1R1,chr16,3024286,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6855775803144224,1.324574411293671,inverse_repressor,8.204800561442404
RDM1,chr17,35930773,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7707725674968217,1.4294896392939371,inverse_repressor,8.18398619806203
SNAPC1,chr14,61762325,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5521319440005117,0.7891373801916933,same_as_secretion,8.14754275416582
RAB6B,chr3,133895882,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.701924571022664,0.6227386724627988,same_as_secretion,8.128579528335257
TMEM263,chr12,106955667,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.268405027714888,0.7919997012026592,same_as_secretion,8.118828533731318
IDH2-DT,chr15,90102593,55.95,0.0,-55.95,0.0,72.05,72.05,True,True,True,0.621153491800258,1.4301330798479088,inverse_repressor,8.098584687720187
STEAP1B,chr7,22727613,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,14.020776046440572,0.6402733964248158,same_as_secretion,8.084179990367925
TMEM191C,chr22,21466423,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7972171532846716,1.5920923859855158,inverse_repressor,8.068967514371414
NUCB2,chr11,17208072,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2618301731244848,0.7295557215523069,same_as_secretion,8.056583648402821
AKTIP,chr16,53504411,240.83999999999997,91.03,-149.80999999999997,0.0,123.09,123.09,True,True,True,0.7442751074638531,1.2149223497636732,inverse_repressor,8.03785497672651
ATXN3,chr14,92106622,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2264882560467851,0.7973563853847313,same_as_secretion,8.03106948190733
REEP6,chr19,1491034,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7764985515858278,1.280234833659491,inverse_repressor,8.010484875022591
SYNPO,chr5,150601080,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.474247619047619,1.6364798166754806,inverse_repressor,8.002442499102635
CEP126,chr11,101915010,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3748827758674589,0.5242836487907466,same_as_secretion,7.996092775271628
GBA2,chr9,35749986,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7567755385684505,1.278334128119536,inverse_repressor,7.983860557823434
SNX8,chr7,2354318,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7714763669760882,1.5765751715533376,inverse_repressor,7.982142151050192
CYTH3,chr7,6272650,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.711786174323744,0.7022880335399848,same_as_secretion,7.981746784885509
CLPTM1L,chr5,1345099,50.47,0.0,-50.47,0.0,0.0,0.0,True,True,False,0.7555520603963511,1.205865439907993,inverse_repressor,7.952936570450882
ANXA1,chr9,73148874,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,5.3618657467299125,0.7668363019508059,same_as_secretion,7.94300492500952
LIPM,chr10,88802730,76.65,0.0,-76.65,0.0,0.0,0.0,True,True,False,3.4820656871218665,0.750137892995036,same_as_secretion,7.931918540960938
ZNF354C,chr5,179060361,0.0,70.74,70.74,76.65,388.55,311.9,True,True,False,1.2681195148407451,0.612065422865127,same_as_secretion,7.9272706636294865
IFIT3,chr10,89327307,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,29.242201012106843,0.7039500201531641,same_as_secretion,7.926436036520576
NECTIN3,chr3,111070071,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5973104857013163,1.2637213881368448,inverse_repressor,7.897545185916325
STK39,chr2,168247739,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3063976031018678,0.6104247009407777,same_as_secretion,7.89481317574988
ARID5A,chr2,96536717,0.0,0.0,0.0,0.0,121.16,121.16,True,True,False,1.537135783660255,0.42229703280357,same_as_secretion,7.85039235690717
CCNQ,chrX,153600045,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2767224116469125,0.7845133916732963,same_as_secretion,7.838986848552146
GPRC5B,chr16,19886173,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3915689476027906,0.6681239453903972,same_as_secretion,7.837681162652134
PRRT2,chr16,29811382,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5977239645361915,1.5274217272536244,inverse_repressor,7.819884095325747
TMEM129,chr4,1721358,98.86,0.0,-98.86,0.0,0.0,0.0,True,True,False,0.7541832301007675,1.2237863725419056,inverse_repressor,7.790909789278361
FERMT2,chr14,52952435,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.404315960912052,0.7973257036085485,same_as_secretion,7.746419383258742
GFUS,chr8,143618048,142.06,104.56,-37.5,151.62,483.33,331.71,True,True,False,0.7912723223844803,1.324918842967198,inverse_repressor,7.741469200534453
COQ8A,chr1,226938143,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3481549392619756,0.793607026143791,same_as_secretion,7.732372271844759
TRIM4,chr7,99919601,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2289763192243148,0.7756548536209552,same_as_secretion,7.714195315374042
MHENCR,chr20,63626148,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5626540673788003,1.259182018306106,inverse_repressor,7.712357887332111
TBKBP1,chr17,47694030,1682.3200000000002,152.79,-1529.5300000000002,0.0,69.4,69.4,True,True,True,1.5968640933479188,0.5863730785209804,same_as_secretion,7.691554121178103
PHLDA3,chr1,201469237,73.47,0.0,-73.47,0.0,0.0,0.0,True,True,False,0.7912857651668054,1.2884760610179729,inverse_repressor,7.685259660264835
CXCL10,chr4,76023497,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.844471569524973,0.2641744548286604,same_as_secretion,7.674184755433973
PDZD4,chrX,153830930,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.229335077800103,0.4248057764372543,same_as_secretion,7.672190795171931
NME5,chr5,138139443,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.549767047861076,0.5069997292174383,same_as_secretion,7.667887328643066
DUSP16,chr12,12563147,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2802287581699343,0.7958080890781071,same_as_secretion,7.649363543740449
LRRC24,chr8,144527033,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6513635226419814,1.3378918068498125,inverse_repressor,7.62543099644704
ZNF22,chr10,45000293,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3855611601513242,0.7295350119463335,same_as_secretion,7.621974707876197
FAM86JP,chr3,125916624,678.02,408.42,-269.59999999999997,0.0,913.51,913.51,True,True,True,1.5728070558442124,0.4699015793087663,same_as_secretion,7.614542726040856
OPN3,chr1,241677376,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.205128205128205,0.7541635595326871,same_as_secretion,7.573115857461014
RNY1,chr7,148987248,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7349665924276169,1.4955408774319563,inverse_repressor,7.559969253357551
SYT1,chr12,78863650,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3164869721473496,0.7828423009345319,same_as_secretion,7.543638448613839
CYSTM1,chr5,140175072,89.22,62.56,-26.659999999999997,0.0,0.0,0.0,True,False,False,0.7000183812266406,1.2541846734433015,inverse_repressor,7.488240696669431
EEF1A2,chr20,63500533,59.23,0.0,-59.23,0.0,0.0,0.0,True,True,False,0.7723086840408877,1.2028317788515566,inverse_repressor,7.473299159560019
GPR161,chr1,168137685,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6702205583136649,1.760158137491764,inverse_repressor,7.469643027038892
LINC02893,chr9,87042419,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3614847607696237,0.5941187148302778,same_as_secretion,7.458177354442329
SPATA17,chr1,217631324,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2031289007239745,0.6851436505393571,same_as_secretion,7.45004963678546
DHCR24,chr1,54887207,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7648625792811838,1.2214552926919224,inverse_repressor,7.432342440403211
PIP5KL1,chr9,127930785,76.0,0.0,-76.0,0.0,0.0,0.0,True,True,False,1.4529760834382306,0.623029206513311,same_as_secretion,7.396763083839934
INPP5E,chr9,136439882,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6862208317038196,1.31436538506983,inverse_repressor,7.358066684015858
DOCK8,chr9,214854,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.614354440254843,0.4183693495279007,same_as_secretion,7.348274136983663
SAMD15,chr14,77376689,238.32,0.0,-238.32,0.0,0.0,0.0,True,True,False,1.3095076400679115,0.6443577981651378,same_as_secretion,7.343192624092884
RNF24,chr20,4015591,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2208780753024329,0.7479260089686097,same_as_secretion,7.313416763661412
AEBP2,chr12,19404045,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.308073841458046,0.7483748886910063,same_as_secretion,7.310925165859043
BEST1,chr11,61950063,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.274245518493306,0.7533412887828163,same_as_secretion,7.262339344176919
SLC39A10,chr2,195575977,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.3216339823990024,0.7615940258924521,same_as_secretion,7.231030356036201
FRMD3-AS1,chr9,83219281,55.78,0.0,-55.78,0.0,0.0,0.0,True,True,False,1.7490348477488304,0.6212458877215323,same_as_secretion,7.226469625211672
MIR34AHG,chr1,9202826,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6145117338430879,1.5343355141587176,inverse_repressor,7.209040194102215
EIF2B4,chr2,27370400,0.0,0.0,0.0,0.0,119.41,119.41,True,True,False,0.7660200294138245,1.226389560173997,inverse_repressor,7.191415527236822
ANTKMT,chr16,720581,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7722623345367027,1.347636286201022,inverse_repressor,7.183655356095634
DOCK11,chrX,118495814,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7110952720361131,1.2885169365252809,inverse_repressor,7.17813709916638
SLC5A12,chr11,26723427,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.4137778670415748,0.4162405219538,same_as_secretion,7.176610083282444
GANC,chr15,42273201,0.0,0.0,0.0,0.0,63.33,63.33,True,True,False,1.7055393586005831,0.6462542351612499,same_as_secretion,7.148044419896924
MAPK8IP2,chr22,50600677,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.6653997747747746,0.5271321087806313,same_as_secretion,7.13079458831277
ZBTB47,chr3,42652900,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5565973406068871,1.3365719134493002,inverse_repressor,7.126237279842386
SHFL,chr19,10086122,85.41,52.66,-32.75,0.0,202.14,202.14,True,True,False,1.7234872631766838,0.6127737226277372,same_as_secretion,7.122862384578907
G6PD,chrX,154547584,1482.7400000000002,158.43,-1324.3100000000002,0.0,939.0899999999999,939.0899999999999,True,True,True,1.2285859097820575,0.7970529741457242,same_as_secretion,7.109750371206378
TSPAN12,chr7,120858402,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.2239281033514324,0.6603673938002297,same_as_secretion,7.082941596811895
BCAP29,chr7,107579957,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.250229990800368,0.7881371446504696,same_as_secretion,7.071736685954905
S100A10,chr1,151993859,135.39,0.0,-135.39,0.0,0.0,0.0,True,True,False,0.7656710722586464,1.2515420899854863,inverse_repressor,7.048934321989611
PPARGC1A,chr4,23904089,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.1148623511904761,1.4281428961003546,inverse_repressor,7.044958353673177
PRKACB,chr1,84078062,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.269101223187378,0.7474561634063004,same_as_secretion,7.036798144667334
LTC4S,chr5,179793980,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6070022205773501,1.2801810335754131,inverse_repressor,7.010867471259981
GSN-AS1,chr9,121285530,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.6580944216909547,1.248706612736337,inverse_repressor,7.009131732354991
ALDH1A3,chr15,100861924,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.7660633484162896,1.5266832143965252,inverse_repressor,7.003697948626275
CAMKK1,chr17,3894891,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.4135864135864136,0.6990970194853691,same_as_secretion,6.986190630823183
ABCA7,chr19,1039997,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.5931986809563067,1.315401550684407,inverse_repressor,6.953659537393024
PARP2,chr14,20343601,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5045707115970604,0.6932759719566602,same_as_secretion,6.94334479014539
KCNJ4,chr22,38455639,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.273574127779242,0.2774536647009268,same_as_secretion,6.931345301763629
PARP10,chr8,144019930,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,1.5543689320388347,0.6841846758349703,same_as_secretion,6.927849416438837
