,cell_type
gddikjae-1,Unknown
gddilkia-1,CD8+ T cells
gddinpcp-1,Unknown
gddjahmp-1,Endothelial
gddjlcda-1,Macrophages
gddjlole-1,Unknown
gddjmffe-1,Unknown
gddjnafl-1,Epithelial
gddjnajj-1,Epithelial
gddkdbmo-1,Macrophages
gddkdoco-1,Unknown
gddkecmk-1,Unknown
gddkgbjb-1,Unknown
gddkhmol-1,Unknown
gddkjalh-1,Unknown
gddkkdab-1,Unknown
gddkkejd-1,Macrophages
gddkmeki-1,Endothelial
gddkmmjp-1,Endothelial
gddkohaj-1,Endothelial
gddldbgo-1,Endothelial
gddlfajp-1,Macrophages
gddlfbbn-1,Endothelial
gddlgoei-1,Macrophages
gddlgokp-1,CD8+ T cells
gddlijlc-1,Epithelial
gddlldgm-1,CD4+ T cells
gddlnmed-1,CD8+ T cells
gddmdkfn-1,Unknown
gddmeklo-1,CD8+ T cells
gddmepog-1,Macrophages
gddmhgda-1,Endothelial
gddmnalf-1,CD8+ T cells
gddmnphk-1,Endothelial
gddmolpb-1,CD4+ T cells
gddmomma-1,Fibroblasts
gddnddcn-1,CD8+ T cells
gddnfaha-1,CD8+ T cells
gddnhohh-1,B cells
gddnijdi-1,Unknown
gddoahgd-1,Macrophages
gddocgpk-1,Endothelial
gddocoln-1,Endothelial
gddogkmb-1,Unknown
gddooido-1,Endothelial
gddpdjno-1,CD4+ T cells
gddphcmd-1,Epithelial
gddpmial-1,Endothelial
gddpobik-1,Unknown
gdeacghj-1,Epithelial
gdeachkc-1,Epithelial
gdeafjhe-1,Unknown
gdeaghcm-1,CD8+ T cells
gdeagoii-1,CD8+ T cells
gdeahpbg-1,Unknown
gdeaideg-1,Unknown
gdeaigaj-1,CD4+ T cells
gdeangik-1,CD4+ T cells
gdeapeao-1,Unknown
gdeapkik-1,CD4+ T cells
gdebbkjn-1,Unknown
gdebdali-1,Unknown
gdebdmpi-1,CD4+ T cells
gdebfkjl-1,Epithelial
gdebhaeh-1,Unknown
gdebniic-1,Unknown
gdebodap-1,Unknown
gdecangk-1,Unknown
gdecbecc-1,CD4+ T cells
gdechnio-1,Unknown
gdecimmj-1,CD8+ T cells
gdeckfch-1,Unknown
gdecmnen-1,CD4+ T cells
gdedcife-1,Unknown
gdeddjff-1,Unknown
gdedinih-1,Macrophages
gdedjbmo-1,Unknown
gdedkmna-1,Unknown
gdedmpei-1,Unknown
gdedndaf-1,Unknown
gdednfch-1,Unknown
gdedogkn-1,Unknown
gdedohcj-1,CD8+ T cells
gdeefien-1,CD8+ T cells
gdeehmgn-1,Unknown
gdeeicpi-1,Epithelial
gdeeiohp-1,Epithelial
gdeepnbe-1,B cells
gdefaadn-1,Macrophages
gdefakhp-1,CD8+ T cells
gdefbhfb-1,Macrophages
gdeffakj-1,Macrophages
gdefkkbb-1,Unknown
gdeflaeb-1,Epithelial
gdefldcj-1,Macrophages
gdeflpjg-1,Macrophages
gdefnlgh-1,Macrophages
gdegenic-1,Unknown
gdegfbed-1,Macrophages
gdegkjlj-1,Macrophages
gdeglbep-1,Macrophages
gdegngkp-1,Macrophages
gdegofpg-1,Macrophages
gdegpibg-1,Macrophages
gdehciii-1,Macrophages
gdehfeem-1,Macrophages
gdehfmfe-1,Macrophages
gdehgkkb-1,Unknown
gdehidca-1,Macrophages
gdehippm-1,Macrophages
gdehlija-1,CD8+ T cells
gdehlkck-1,Macrophages
gdehnkbk-1,Epithelial
gdeicneo-1,Epithelial
gdeidkmd-1,Macrophages
gdeiegbn-1,Epithelial
gdeifehg-1,Macrophages
gdeiidgn-1,Epithelial
gdeiiglh-1,Macrophages
gdeiipio-1,Macrophages
gdeijcjg-1,Epithelial
gdeilbpi-1,Unknown
gdeimfkk-1,Macrophages
gdeioneb-1,B cells
gdeippma-1,Endothelial
gdejckkc-1,CD8+ T cells
gdejcobp-1,CD4+ T cells
gdejfffd-1,Unknown
gdejfoeo-1,Macrophages
gdejmjej-1,Endothelial
gdejoece-1,Unknown
gdejoigk-1,Unknown
gdekcdln-1,Unknown
gdekeaeh-1,Unknown
gdekeipi-1,Unknown
gdekiocb-1,Unknown
gdekkdpd-1,Unknown
gdekkfhf-1,Unknown
gdekkjib-1,CD4+ T cells
gdeljlom-1,Unknown
gdelkell-1,Unknown
gdellbib-1,Endothelial
gdelpkda-1,Macrophages
gdemafdh-1,CD8+ T cells
gdemedpk-1,Unknown
gdemjcnk-1,Macrophages
gdemkgbe-1,CD8+ T cells
gdemlkee-1,Macrophages
gdemmloc-1,Unknown
gdemnnmm-1,Macrophages
gdempbho-1,Epithelial
gdemppki-1,Macrophages
gdenbogj-1,Macrophages
gdenhfgo-1,Epithelial
gdenihll-1,Macrophages
gdennoed-1,Unknown
gdenokid-1,Macrophages
gdenonca-1,Epithelial
gdenpbga-1,Macrophages
gdeoagdf-1,Macrophages
gdeoamjf-1,Macrophages
gdeobdmn-1,Macrophages
gdeobkhp-1,Macrophages
gdeoflep-1,Macrophages
gdeogbnm-1,Macrophages
gdeokhkd-1,Epithelial
gdeokkij-1,Macrophages
gdeollef-1,Macrophages
gdeopdnc-1,Macrophages
gdeopeem-1,Macrophages
gdepfcaa-1,Epithelial
gdephfae-1,Macrophages
gdephmlj-1,Macrophages
gdepkdbi-1,Epithelial
gdepoanl-1,Unknown
gdfacaod-1,Macrophages
gdfadlhj-1,Macrophages
gdfafmhm-1,Macrophages
gdfagnpi-1,Macrophages
gdfahfkh-1,Macrophages
gdfaifam-1,Unknown
gdfalaoc-1,Unknown
gdfamkcm-1,Macrophages
gdfbblej-1,Unknown
gdfbcile-1,Macrophages
gdfbffha-1,Unknown
gdfbhijo-1,Macrophages
gdfbnkpc-1,Macrophages
gdfboioe-1,Epithelial
gdfceikj-1,Unknown
gdfcjeec-1,B cells
gdfcnicc-1,Unknown
gdfdaleh-1,Unknown
gdfdbmdc-1,CD8+ T cells
gdfdcpnk-1,Macrophages
gdfdjdke-1,Macrophages
gdfdmnen-1,Endothelial
gdfebopl-1,Unknown
gdfeclcm-1,CD8+ T cells
gdfefelb-1,Unknown
gdfefhgg-1,Unknown
gdfeojad-1,Macrophages
gdffacoc-1,Endothelial
gdffdcga-1,Endothelial
gdffemdg-1,Unknown
gdffjdni-1,B cells
gdffljak-1,CD8+ T cells
gdffmohm-1,Unknown
gdfgaapd-1,B cells
gdfgbjjb-1,CD4+ T cells
gdfghgii-1,Unknown
gdfgjcog-1,B cells
gdfhbcoh-1,Endothelial
gdfhboed-1,CD4+ T cells
gdfhcbpl-1,CD4+ T cells
gdfhebki-1,Unknown
gdfhnfdo-1,B cells
gdficjon-1,CD4+ T cells
gdfiealc-1,Endothelial
gdfielfb-1,Macrophages
gdfiiobe-1,Unknown
gdfikegf-1,CD8+ T cells
gdfikffg-1,CD8+ T cells
gdfipebd-1,Unknown
gdfipihh-1,Endothelial
gdfjfcdm-1,Macrophages
gdfjgddl-1,CD4+ T cells
gdfjhahj-1,CD4+ T cells
gdfjjaca-1,CD4+ T cells
gdfjjhke-1,Unknown
gdfjjigo-1,Endothelial
gdfjkcpl-1,Endothelial
gdfjpcdo-1,Unknown
gdfkenob-1,Unknown
gdfkfiop-1,Unknown
gdfkigci-1,B cells
gdfkpiac-1,Unknown
gdfldapb-1,Unknown
gdfljido-1,Unknown
gdfljlee-1,Epithelial
gdflkpbi-1,Epithelial
gdfllkea-1,Unknown
gdflpdfh-1,Endothelial
gdfmbfea-1,Epithelial
gdfmdoff-1,Macrophages
gdfmebdd-1,Epithelial
gdfmekpc-1,Macrophages
gdfmglnk-1,Macrophages
gdfmifmi-1,Macrophages
gdfmijgh-1,Endothelial
gdfmijkb-1,Epithelial
gdfmilnb-1,Macrophages
gdfmkkdl-1,Endothelial
gdfmkmfl-1,CD4+ T cells
gdfmliab-1,Unknown
gdfmppih-1,Unknown
gdfnabjl-1,CD4+ T cells
gdfnadim-1,Unknown
gdfnbaci-1,Unknown
gdfncgon-1,Unknown
gdfnmicj-1,Unknown
gdfnmjbl-1,Unknown
gdfnmodg-1,Fibroblasts
gdfnnibe-1,Fibroblasts
gdfobpcl-1,CD8+ T cells
gdfocekp-1,CD8+ T cells
gdfogpjm-1,Unknown
gdfohcfn-1,Macrophages
gdfojbpa-1,B cells
gdfojefc-1,Unknown
gdfojfal-1,Macrophages
gdfojmbi-1,Endothelial
gdfoliem-1,Unknown
gdfopcgo-1,Unknown
gdfpefji-1,Endothelial
gdfpgehl-1,Unknown
gdfpiblc-1,Unknown
gdfpjmke-1,Unknown
gdfplpam-1,Endothelial
gdfpmned-1,Endothelial
gdfpoiic-1,Endothelial
gdfppbgd-1,Endothelial
gdgadkpg-1,Unknown
gdgaecho-1,CD8+ T cells
gdgallmh-1,Unknown
gdgaonnb-1,CD4+ T cells
gdgbcmgi-1,Macrophages
gdgbddlb-1,Endothelial
gdgbdmde-1,Unknown
gdgbfkjk-1,Endothelial
gdgbloah-1,CD4+ T cells
gdgbpaak-1,CD8+ T cells
gdgcbaeo-1,CD8+ T cells
gdgcbfin-1,Unknown
gdgcbmpg-1,B cells
gdgccjoj-1,B cells
gdgcfdha-1,Unknown
gdgclggl-1,CD4+ T cells
gdgcnceg-1,Unknown
gdgcncok-1,Unknown
gdgcomkn-1,Macrophages
gdgdagip-1,Unknown
gdgdapdb-1,CD8+ T cells
gdgdbeop-1,CD4+ T cells
gdgdbfpg-1,Unknown
gdgdbmli-1,CD8+ T cells
gdgdfnpa-1,CD4+ T cells
gdgdgloo-1,Endothelial
gdgdipdo-1,Endothelial
gdgdjdjc-1,Endothelial
gdgdkhmf-1,B cells
gdgdkpkf-1,CD8+ T cells
gdgdlbba-1,Fibroblasts
gdgecldm-1,Endothelial
gdgeladg-1,Unknown
gdgelfba-1,Endothelial
gdgeoeci-1,Epithelial
gdgfafng-1,Unknown
gdgfbjag-1,Unknown
gdgfhbab-1,Unknown
gdgfhooh-1,Unknown
gdgfjamb-1,Unknown
gdgfjjfk-1,Unknown
gdgfkjnk-1,Endothelial
gdgfngeb-1,Endothelial
gdgfnile-1,Endothelial
gdgfocek-1,Fibroblasts
gdgfpilo-1,Unknown
gdggajdj-1,Endothelial
gdggeajg-1,Endothelial
gdgghflb-1,Unknown
gdggjemf-1,Endothelial
gdggjihn-1,Endothelial
gdggkbln-1,Endothelial
gdggleih-1,Epithelial
gdgglpok-1,Endothelial
gdggmdoe-1,Endothelial
gdggneih-1,Endothelial
gdghdobd-1,Endothelial
gdghfcam-1,CD8+ T cells
gdghgjpd-1,CD8+ T cells
gdghiekj-1,Endothelial
gdghmdbp-1,CD8+ T cells
gdghnjfa-1,CD8+ T cells
gdghpnlp-1,Unknown
gdgiblgp-1,Endothelial
gdgicfjg-1,Epithelial
gdgidfkl-1,Unknown
gdgigojf-1,Unknown
gdgihlam-1,Unknown
gdgihobi-1,Unknown
gdgiinea-1,Unknown
gdgijeib-1,Unknown
gdgildma-1,Unknown
gdgioega-1,Epithelial
gdgiolgh-1,Unknown
gdgjdgdn-1,Macrophages
gdgjdnap-1,Unknown
gdgjgali-1,Unknown
gdgjhnfi-1,Unknown
gdgjihpj-1,Macrophages
gdgjnkoh-1,Endothelial
gdgkcmag-1,Epithelial
gdgkdafn-1,Epithelial
gdgkdhla-1,Epithelial
gdgkfolb-1,Endothelial
gdgkiglc-1,CD8+ T cells
gdgkilnb-1,Unknown
gdgkjike-1,Epithelial
gdgkmnla-1,Unknown
gdgknbdo-1,Macrophages
gdglaegc-1,CD8+ T cells
gdglfhdh-1,Unknown
gdglgohn-1,Endothelial
gdgljgmb-1,Unknown
gdgljogp-1,Macrophages
gdgllppj-1,Epithelial
gdglmbhi-1,Epithelial
gdglmblg-1,Epithelial
gdglmccj-1,Endothelial
gdglmegd-1,Macrophages
gdgmagmm-1,Epithelial
gdgmckpp-1,Unknown
gdgmjbke-1,Epithelial
gdgmkhgb-1,CD8+ T cells
gdgmndib-1,Unknown
gdgncjkg-1,Unknown
gdgngfjm-1,Unknown
gdgnlbdp-1,Endothelial
gdgnlcga-1,Unknown
gdgnncep-1,Endothelial
gdgnofgk-1,Unknown
gdgnoino-1,Unknown
gdgocjbh-1,Endothelial
gdgodnei-1,Endothelial
gdgoeanb-1,Macrophages
gdgoenao-1,Epithelial
gdgofjnf-1,Epithelial
gdgoklek-1,Unknown
gdgokobg-1,Unknown
gdgoogbh-1,Epithelial
gdgopapj-1,Epithelial
gdgpbgid-1,Epithelial
gdgpbkjd-1,Macrophages
gdgpekcm-1,Macrophages
gdgpenib-1,CD8+ T cells
gdgpkick-1,CD8+ T cells
gdgpkjdc-1,Epithelial
gdhaaekb-1,Unknown
gdhabjcj-1,CD8+ T cells
gdhaboin-1,Unknown
gdhahjig-1,CD4+ T cells
gdhakail-1,CD4+ T cells
gdhakcjm-1,CD8+ T cells
gdhanlhd-1,Fibroblasts
gdhapico-1,Endothelial
gdhbalig-1,Endothelial
gdhbbbne-1,CD4+ T cells
gdhbchff-1,Unknown
gdhbdmmb-1,Unknown
gdhbejpo-1,Macrophages
gdhbhejf-1,Endothelial
gdhbjheb-1,Unknown
gdhblpjc-1,Unknown
gdhblpmn-1,Unknown
gdhcahpg-1,CD8+ T cells
gdhcclhi-1,Macrophages
gdhcfgpp-1,Unknown
gdhchmdd-1,Macrophages
gdhcicho-1,Macrophages
gdhckifj-1,Macrophages
gdhcllfa-1,Unknown
gdhdabcj-1,Unknown
gdhdejif-1,Endothelial
gdhdlkpk-1,Endothelial
gdhdllmd-1,Unknown
gdhdnfdb-1,Endothelial
gdheacmp-1,Endothelial
gdhedncj-1,Unknown
gdheghen-1,Endothelial
gdhehfof-1,Unknown
gdhekibe-1,CD4+ T cells
gdhekjda-1,Macrophages
gdhelodn-1,Unknown
gdhelplb-1,Unknown
gdhempgj-1,Endothelial
gdhenbij-1,Endothelial
gdhephde-1,Endothelial
gdhfaeej-1,Endothelial
gdhffgkm-1,Endothelial
gdhflhpl-1,Endothelial
gdhfngbb-1,Endothelial
gdhgccpe-1,Endothelial
gdhgdgbf-1,Unknown
gdhgdljj-1,Unknown
gdhgeloa-1,Unknown
gdhggjgc-1,Macrophages
gdhgglol-1,Endothelial
gdhghkdf-1,Macrophages
gdhgjcgm-1,Unknown
gdhglppa-1,CD8+ T cells
gdhgpcij-1,CD8+ T cells
gdhgpgca-1,Macrophages
gdhhcbcg-1,Unknown
gdhhgdmp-1,Macrophages
gdhhhlnd-1,Unknown
gdhhknif-1,Unknown
gdhhnlpk-1,CD8+ T cells
gdhhoafl-1,Unknown
gdhieiek-1,Unknown
gdhihecf-1,Unknown
gdhilaig-1,Unknown
gdhimphf-1,Unknown
gdhinjdb-1,Macrophages
gdhiofbh-1,Macrophages
gdhjelcl-1,Endothelial
gdhjgjam-1,CD8+ T cells
gdhjjfha-1,Unknown
gdhjmgnj-1,Unknown
gdhjmmeb-1,Endothelial
gdhjnjgj-1,Unknown
gdhkclmc-1,CD4+ T cells
gdhkigpk-1,Epithelial
gdhkndaj-1,Unknown
gdhkomba-1,Macrophages
gdhkphgd-1,Unknown
gdhlahnk-1,Epithelial
gdhlbklg-1,Unknown
gdhlccoe-1,Endothelial
gdhlfflj-1,Unknown
gdhlfocm-1,Unknown
gdhlgbfj-1,CD8+ T cells
gdhlhbie-1,CD8+ T cells
gdhljlbp-1,Unknown
gdhlnlhd-1,Macrophages
gdhmegoh-1,Unknown
gdhmidlh-1,Unknown
gdhmigbe-1,Unknown
gdhmjece-1,Macrophages
gdhmkned-1,Macrophages
gdhmncdj-1,Unknown
gdhmpami-1,Macrophages
gdhmplnl-1,Macrophages
gdhnaikh-1,CD8+ T cells
gdhnkfch-1,Unknown
gdhnlplc-1,Macrophages
gdhnnfpg-1,Macrophages
gdhnogog-1,Unknown
gdhnpbjb-1,Unknown
gdhobdoh-1,Unknown
gdhoblcb-1,Unknown
gdhocdjc-1,Endothelial
gdhocjbf-1,Endothelial
gdhodlof-1,CD8+ T cells
gdhodojg-1,Unknown
gdhoeopi-1,Endothelial
gdhofknf-1,Unknown
gdhogdel-1,Unknown
gdhohgmg-1,Endothelial
gdhomlip-1,Epithelial
gdhoogmm-1,Unknown
gdhpagmi-1,Endothelial
gdhpdcli-1,Endothelial
gdhpdheg-1,Macrophages
gdhpeabb-1,Unknown
gdhpengk-1,Unknown
gdhphmlp-1,Unknown
gdhponje-1,Macrophages
gdiaagkm-1,Fibroblasts
gdiadaja-1,Unknown
gdiaegap-1,Unknown
gdiaeknh-1,Epithelial
gdiafpck-1,CD8+ T cells
gdiahpjn-1,CD8+ T cells
gdiaipbc-1,Unknown
gdiajljm-1,Endothelial
gdiakkhd-1,Unknown
gdialmfe-1,Unknown
gdianmni-1,Unknown
gdiaoafk-1,Unknown
gdiaokbh-1,Unknown
gdiapjgo-1,Macrophages
gdibbdbi-1,Macrophages
gdibcgpl-1,Macrophages
gdibckno-1,Unknown
gdibeeii-1,Unknown
gdibjhlf-1,Unknown
gdibknhe-1,Unknown
gdiblmho-1,Endothelial
gdibnlkc-1,Epithelial
gdicadag-1,Endothelial
gdicdege-1,Macrophages
gdicdepd-1,Unknown
gdichddm-1,Epithelial
gdichgef-1,Unknown
gdicjdlh-1,Unknown
gdicnkjd-1,Unknown
gdicpcjk-1,Macrophages
gdidcemm-1,Unknown
gdidekie-1,Unknown
gdidfden-1,Unknown
gdidfedi-1,Unknown
gdidiceo-1,Macrophages
gdidjapn-1,Epithelial
gdidloai-1,Unknown
gdidonhh-1,Epithelial
gdidpngj-1,Epithelial
gdiecidf-1,Epithelial
gdiegcff-1,Unknown
gdieidgm-1,Unknown
gdielkgi-1,Macrophages
gdiemnca-1,Fibroblasts
gdiencjn-1,Unknown
gdifabpj-1,Endothelial
gdifcgeg-1,Unknown
gdifepdo-1,Macrophages
gdiffecn-1,Unknown
gdifgfkj-1,Macrophages
gdifican-1,Fibroblasts
gdifmnij-1,Fibroblasts
gdigbglh-1,Unknown
gdigcddp-1,Fibroblasts
gdigdnhh-1,Fibroblasts
gdigfccg-1,Endothelial
gdigjcdh-1,Endothelial
gdigkdhi-1,Endothelial
gdigoakl-1,Endothelial
gdigobif-1,Fibroblasts
gdihbiil-1,Fibroblasts
gdihfehd-1,Endothelial
gdihfhjf-1,Endothelial
gdihhbli-1,Fibroblasts
gdihmica-1,Endothelial
gdihnbfo-1,Endothelial
gdihpkmd-1,Fibroblasts
gdiiamnn-1,Endothelial
gdiicdli-1,Endothelial
gdiicgdk-1,Endothelial
gdiikhmi-1,Fibroblasts
gdijalmg-1,Fibroblasts
gdijbpnb-1,Endothelial
gdijccll-1,Endothelial
gdijeaab-1,Fibroblasts
gdijfbba-1,Unknown
gdijhelh-1,Fibroblasts
gdijinpb-1,Fibroblasts
gdijkckd-1,Fibroblasts
gdijojad-1,Unknown
gdikahkd-1,Fibroblasts
gdikbeed-1,Fibroblasts
gdikdcii-1,Unknown
gdikglca-1,Endothelial
gdikhiai-1,Fibroblasts
gdikoogk-1,Fibroblasts
gdikpekf-1,Fibroblasts
gdilbdkc-1,Fibroblasts
gdilcpdb-1,Endothelial
gdilejjp-1,Endothelial
gdilgmgh-1,Fibroblasts
gdilgncl-1,Endothelial
gdilhnco-1,Fibroblasts
gdiljeop-1,Endothelial
gdillden-1,Endothelial
gdilmani-1,Fibroblasts
gdilniff-1,Endothelial
gdiloebk-1,Macrophages
gdimhmbg-1,Endothelial
gdimkbcp-1,Endothelial
gdimkehc-1,Endothelial
gdimmcek-1,CD8+ T cells
gdimmdhf-1,Unknown
gdimoifh-1,Endothelial
gdindpfd-1,Fibroblasts
gdinnckk-1,Fibroblasts
gdinofff-1,Fibroblasts
gdinpadi-1,Endothelial
gdinpbed-1,Endothelial
gdinpfcj-1,Fibroblasts
gdinpijf-1,Endothelial
gdioaodi-1,Unknown
gdioefbm-1,Unknown
gdioekfn-1,Unknown
gdiofonk-1,Macrophages
gdiogmoe-1,Macrophages
gdioicde-1,Unknown
gdiojbeh-1,Fibroblasts
gdiojcek-1,Unknown
gdiojeae-1,Fibroblasts
gdiojecb-1,Unknown
gdiolmof-1,Unknown
gdiondcd-1,Unknown
gdioojmc-1,Fibroblasts
gdioopce-1,Fibroblasts
gdiopgbg-1,Unknown
gdiopkfm-1,Macrophages
gdipbbfb-1,Macrophages
gdipbffj-1,Unknown
gdipbmkm-1,Fibroblasts
gdipcbhp-1,Unknown
gdipcjnj-1,Unknown
gdipcpkn-1,Fibroblasts
gdipfgkm-1,Endothelial
gdipfipe-1,Macrophages
gdipgpgn-1,Unknown
gdiphpod-1,Unknown
gdipjbdk-1,Unknown
gdipohhj-1,Unknown
gdippknp-1,Unknown
gdjaalpj-1,Unknown
gdjagpll-1,Fibroblasts
gdjaipkd-1,Unknown
gdjajfio-1,Fibroblasts
gdjamafb-1,Unknown
gdjamhko-1,Unknown
gdjbagal-1,Fibroblasts
gdjbcgli-1,Fibroblasts
gdjbdofp-1,Epithelial
gdjbdohm-1,Unknown
gdjbggil-1,Fibroblasts
gdjbniaj-1,CD8+ T cells
gdjcefio-1,Epithelial
gdjcegbp-1,Macrophages
gdjckjjg-1,Unknown
gdjclbml-1,Fibroblasts
gdjclhij-1,Endothelial
gdjcmfgp-1,Fibroblasts
gdjcmhie-1,Unknown
gdjdbbnj-1,Unknown
gdjdcjcj-1,Fibroblasts
gdjdhcmb-1,Endothelial
gdjdicgg-1,Endothelial
gdjdljgo-1,Unknown
gdjdofcp-1,Macrophages
gdjebmok-1,Macrophages
gdjedhol-1,Unknown
gdjeghgi-1,Macrophages
gdjeheai-1,Unknown
gdjehfoh-1,Fibroblasts
gdjekbbe-1,Unknown
gdjekdoh-1,Macrophages
gdjekenm-1,Macrophages
gdjekfdk-1,Unknown
gdjekppp-1,Macrophages
gdjelgak-1,Macrophages
gdjeoema-1,Macrophages
gdjeompm-1,Macrophages
gdjepjih-1,Fibroblasts
gdjepooa-1,Fibroblasts
gdjfblno-1,Macrophages
gdjfdcgp-1,Endothelial
gdjfddmc-1,Endothelial
gdjffejl-1,Unknown
gdjfgckf-1,Unknown
gdjfgeno-1,Unknown
gdjfhlpe-1,Macrophages
gdjfjoea-1,Unknown
gdjflcjk-1,Unknown
gdjflgof-1,Unknown
gdjfmboo-1,Unknown
gdjfmkfb-1,Unknown
gdjfnejj-1,Endothelial
gdjfnnpf-1,Endothelial
gdjfoeap-1,Endothelial
gdjgblpm-1,Unknown
gdjgckjj-1,Macrophages
gdjggjlc-1,CD8+ T cells
gdjggnbp-1,Macrophages
gdjhcpgc-1,CD4+ T cells
gdjhplfj-1,Endothelial
gdjiagdi-1,Unknown
gdjibhef-1,Unknown
gdjibihk-1,Fibroblasts
gdjibjjo-1,Unknown
gdjicaha-1,Macrophages
gdjicfjj-1,Macrophages
gdjidfip-1,Unknown
gdjiemop-1,Unknown
gdjieoek-1,Unknown
gdjifcho-1,CD4+ T cells
gdjifhdf-1,B cells
gdjigdlj-1,Unknown
gdjihjmm-1,Unknown
gdjincal-1,Unknown
gdjjcikb-1,Unknown
gdjjclgi-1,Unknown
gdjjeccm-1,Unknown
gdjjefpn-1,Unknown
gdjjehcn-1,Unknown
gdjjgjfd-1,CD8+ T cells
gdjjhnbl-1,CD8+ T cells
gdjjhobm-1,Fibroblasts
gdjjiong-1,Unknown
gdjjkdjj-1,Unknown
gdjjlbje-1,CD8+ T cells
gdjjmbnb-1,Unknown
gdjjmiho-1,Endothelial
gdjjpcgm-1,CD8+ T cells
gdjkagda-1,Endothelial
gdjkcmgn-1,Unknown
gdjkhoml-1,Unknown
gdjkjhpm-1,Unknown
gdjklfej-1,CD4+ T cells
gdjkngdm-1,Unknown
gdjkniap-1,Endothelial
gdjkpkop-1,Endothelial
gdjlajib-1,Unknown
gdjlcell-1,Endothelial
gdjldnij-1,Unknown
gdjlecoh-1,Unknown
gdjlhhjp-1,Unknown
gdjlilkp-1,Endothelial
gdjlkfab-1,Endothelial
gdjllkfj-1,Fibroblasts
gdjllnpa-1,Endothelial
gdjlmppd-1,Endothelial
gdjmajfc-1,Fibroblasts
gdjmcedf-1,Endothelial
gdjmdpdd-1,Macrophages
gdjmgjae-1,Endothelial
gdjmipcb-1,Endothelial
gdjmkikg-1,Endothelial
gdjmlcmh-1,Endothelial
gdjmlkdk-1,Endothelial
gdjmlnnm-1,Fibroblasts
gdjmnojl-1,Endothelial
gdjnbefe-1,Fibroblasts
gdjnbkog-1,Unknown
gdjngjpf-1,Endothelial
gdjniiog-1,Macrophages
gdjnipbl-1,Fibroblasts
gdjnjbnl-1,Fibroblasts
gdjnkcpd-1,Endothelial
gdjnkfon-1,CD4+ T cells
gdjnmkca-1,Unknown
gdjnpeja-1,Macrophages
gdjnpljc-1,Unknown
gdjobclp-1,Unknown
gdjobodh-1,Unknown
gdjohkma-1,Endothelial
gdjohmcb-1,Endothelial
gdjokhei-1,Endothelial
gdjolcen-1,Unknown
gdjonjah-1,Unknown
gdjpciah-1,Unknown
gdjpdgfj-1,Unknown
gdjpemik-1,Fibroblasts
gdjphefg-1,Endothelial
gdjpjdol-1,Unknown
gdjpnjbp-1,CD4+ T cells
gdjppecj-1,Macrophages
gdkaahmc-1,Unknown
gdkacflp-1,Endothelial
gdkacmpj-1,Fibroblasts
gdkaddfg-1,Macrophages
gdkadopp-1,Fibroblasts
gdkahfoi-1,Endothelial
gdkaklnk-1,Unknown
gdkaladi-1,Unknown
gdkamphp-1,Unknown
gdkbameg-1,Unknown
gdkbcdgp-1,Unknown
gdkbhapb-1,Unknown
gdkbjann-1,Fibroblasts
gdkbjimc-1,Unknown
gdkbkjhc-1,Unknown
gdkbknnh-1,Unknown
gdkblmnb-1,Unknown
gdkblole-1,Fibroblasts
gdkbopeo-1,Unknown
gdkcamej-1,Fibroblasts
gdkcfcea-1,Unknown
gdkcfcph-1,Unknown
gdkcfjfd-1,Unknown
gdkcggib-1,Unknown
gdkcghdn-1,Unknown
gdkcjndf-1,Epithelial
gdkclieh-1,Unknown
gdkcmfjb-1,Endothelial
gdkcmmen-1,Fibroblasts
gdkcneoc-1,Endothelial
gdkdaafm-1,Fibroblasts
gdkdiall-1,Unknown
gdkdiiba-1,Unknown
gdkdkaoe-1,Epithelial
gdkdklba-1,CD8+ T cells
gdkdkmmi-1,Unknown
gdkdlkci-1,Fibroblasts
gdkealcc-1,Endothelial
gdkegfee-1,Fibroblasts
gdkehbop-1,Epithelial
gdkeifhd-1,Unknown
gdkekpoa-1,Unknown
gdkelbpg-1,Macrophages
gdkelgam-1,Unknown
gdkeockp-1,Unknown
gdkfacmp-1,Unknown
gdkfakip-1,Macrophages
gdkfbfde-1,Unknown
gdkfcehi-1,Unknown
gdkfebcd-1,Fibroblasts
gdkfendi-1,Fibroblasts
gdkfjeko-1,Macrophages
gdkfomgh-1,Unknown
gdkfpbhh-1,Epithelial
gdkgaklf-1,Macrophages
gdkgjidb-1,Macrophages
gdkgldne-1,CD8+ T cells
gdkgnbjc-1,Epithelial
gdkgngln-1,Macrophages
gdkgnimc-1,Epithelial
gdkhecej-1,Unknown
gdkhggpo-1,Unknown
gdkhghdb-1,Unknown
gdkhhloi-1,Macrophages
gdkhhmaf-1,Macrophages
gdkhicdg-1,CD8+ T cells
gdkhkajd-1,Macrophages
gdkhmook-1,Macrophages
gdkhnjoc-1,CD8+ T cells
gdkhojee-1,Epithelial
gdkiahfe-1,Unknown
gdkicbeo-1,Epithelial
gdkifnea-1,Macrophages
gdkifnne-1,Epithelial
gdkijoco-1,Epithelial
gdkiondb-1,Epithelial
gdkjalfo-1,Macrophages
gdkjbmhe-1,Epithelial
gdkjfjce-1,Epithelial
gdkjhafb-1,Unknown
gdkjipna-1,Macrophages
gdkjlogo-1,Epithelial
gdkjmbmf-1,Epithelial
gdkjmcbp-1,Macrophages
gdkjoapf-1,CD8+ T cells
